Pclass,Age,SibSp,Parch,Fare,IsMale,EmbarkedC,EmbarkedQ,EmbarkedS,Survived
3,21,0,0,7.65,0,0,0,1,1
3,28.344,0,0,7.775,1,0,0,1,1
3,38,0,0,7.896,1,0,0,1,0
3,28.344,1,0,24.15,0,0,1,0,1
1,47,0,0,52,1,0,0,1,0
3,14.5,1,0,14.454,0,1,0,0,0
3,22,0,0,8.05,1,0,0,1,0
3,20,1,0,9.825,0,0,0,1,0
3,17,0,0,14.458,0,1,0,0,0
3,21,0,0,7.925,1,0,0,1,0
3,70.5,0,0,7.75,1,0,1,0,0
2,29,1,0,21,1,0,0,1,0
1,24,0,1,247.521,1,1,0,0,0
3,2,4,2,31.275,0,0,0,1,0
2,21,2,0,73.5,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
2,32.5,1,0,30.071,1,1,0,0,0
2,32.5,0,0,13,0,0,0,1,1
1,54,0,1,77.287,1,0,0,1,0
3,12,1,0,11.242,1,1,0,0,1
3,30.626,0,0,7.75,1,0,1,0,0
3,24,0,0,7.142,1,0,0,1,1
3,28.344,1,1,22.358,0,1,0,0,1
3,45,0,0,6.975,1,0,0,1,0
3,33,0,0,7.896,1,1,0,0,0
3,20,0,0,7.05,1,0,0,1,0
3,47,1,0,14.5,0,0,0,1,0
2,29,1,0,26,0,0,0,1,1
2,25,0,0,13,1,0,0,1,0
2,23,0,0,15.046,1,1,0,0,0
1,19,0,2,26.283,0,0,0,1,1
1,37,1,0,53.1,1,0,0,1,0
3,16,0,0,9.217,1,0,0,1,0
1,24,0,0,79.2,1,1,0,0,0
3,30.626,0,2,15.246,0,1,0,0,0
3,22,0,0,7.75,0,0,0,1,1
3,24,1,0,15.85,0,0,0,1,1
3,19,0,0,6.75,1,0,1,0,0
2,18,0,0,11.5,1,0,0,1,0
2,19,1,1,36.75,1,0,0,1,0
3,27,0,0,7.796,1,0,0,1,1
3,9,2,2,34.375,0,0,0,1,0
2,36.5,0,2,26,1,0,0,1,0
2,42,0,0,13,1,0,0,1,0
2,51,0,0,12.525,1,0,0,1,0
1,22,1,0,66.6,0,0,0,1,1
3,55.5,0,0,8.05,1,0,0,1,0
3,40.5,0,2,14.5,1,0,0,1,0
3,30.626,0,0,7.312,1,0,0,1,0
1,51,0,1,61.379,1,1,0,0,0
3,16,0,0,7.733,0,0,1,0,1
3,30,0,0,8.05,1,0,0,1,0
3,30.626,0,0,8.662,1,0,0,1,0
3,30.626,8,2,69.55,1,0,0,1,0
3,44,0,1,16.1,1,0,0,1,0
2,40,0,0,15.75,0,0,0,1,1
3,26,0,0,7.775,1,0,0,1,0
3,17,0,0,8.662,1,0,0,1,0
3,1,4,1,39.688,1,0,0,1,0
3,9,0,2,20.525,1,0,0,1,1
1,28.344,0,1,55,0,0,0,1,1
3,45,1,4,27.9,0,0,0,1,0
1,30.626,0,0,25.925,1,0,0,1,0
3,28,0,0,56.496,1,0,0,1,0
1,61,0,0,33.5,1,0,0,1,0
3,4,4,1,29.125,1,0,1,0,0
3,1,1,1,11.133,0,0,0,1,1
3,21,0,0,7.925,1,0,0,1,0
1,56,0,0,30.696,1,1,0,0,0
3,18,1,1,7.854,1,0,0,1,0
3,30.626,3,1,25.467,1,0,0,1,0
1,50,0,0,28.712,0,1,0,0,0
2,30,0,0,13,1,0,0,1,0
3,36,0,0,0,1,0,0,1,0
3,30.626,8,2,69.55,0,0,0,1,0
2,30.626,0,0,15.05,1,1,0,0,0
3,9,4,2,31.387,1,0,0,1,0
2,1,2,1,39,1,0,0,1,1
3,4,0,2,22.025,0,0,0,1,1
1,30.626,0,0,50,1,0,0,1,0
3,28.344,1,0,15.5,0,0,1,0,1
1,45,0,0,26.55,1,0,0,1,1
3,40,1,1,15.5,1,0,1,0,0
3,36,0,0,7.896,1,0,0,1,0
2,32,0,0,13,0,0,0,1,1
2,19,0,0,13,1,0,0,1,0
3,19,1,0,7.854,0,0,0,1,1
2,3,1,1,26,1,0,0,1,1
1,44,0,0,27.721,0,1,0,0,1
1,58,0,0,146.521,0,1,0,0,1
3,30.626,0,0,7.75,1,0,1,0,0
3,42,0,1,8.404,1,0,0,1,0
3,28.344,0,0,7.75,0,0,1,0,1
2,24,0,0,13,0,0,0,1,0
3,28,0,0,9.5,1,0,0,1,0
3,30.626,8,2,69.55,1,0,0,1,0
3,34,0,0,6.496,1,0,0,1,0
3,45.5,0,0,7.225,1,1,0,0,0
3,18,0,0,8.05,1,0,0,1,1
3,2,0,1,10.463,0,0,0,1,0
3,32,1,0,15.85,1,0,0,1,0
3,26,0,0,18.788,1,1,0,0,1
3,16,0,0,7.75,0,0,1,0,1
1,40,0,0,31,1,1,0,0,1
3,24,0,0,7.05,1,0,0,1,0
2,35,0,0,21,0,0,0,1,1
3,22,0,0,7.25,1,0,0,1,0
2,30,0,0,13,1,0,0,1,0
3,30.626,1,0,7.75,1,0,1,0,0
1,31,1,0,113.275,0,1,0,0,1
3,27,0,0,7.925,0,0,0,1,1
2,42,1,0,27,1,0,0,1,0
1,32,0,0,76.292,0,1,0,0,1
2,30,0,0,10.5,1,0,0,1,0
3,16,0,0,8.05,1,0,0,1,1
2,27,0,0,13,1,0,0,1,0
3,51,0,0,8.05,1,0,0,1,0
3,30.626,0,0,7.896,1,0,0,1,0
1,38,1,0,90,1,0,0,1,1
3,22,0,0,9.35,1,0,0,1,0
2,19,0,0,10.5,1,0,0,1,1
3,20.5,0,0,7.25,1,0,0,1,0
2,18,0,0,13,1,0,0,1,0
3,30.626,3,1,25.467,0,0,0,1,0
1,35,1,0,83.475,0,0,0,1,1
3,29,0,0,7.775,1,0,0,1,0
2,59,0,0,13.5,1,0,0,1,0
3,5,4,2,31.387,0,0,0,1,1
2,24,0,0,10.5,1,0,0,1,0
3,30.626,0,0,7.55,0,0,0,1,0
2,44,1,0,26,1,0,0,1,0
2,8,0,2,26.25,0,0,0,1,1
2,19,0,0,10.5,1,0,0,1,0
2,33,0,0,12.275,1,0,0,1,0
3,30.626,1,0,14.454,0,1,0,0,0
3,28.344,1,0,15.5,0,0,1,0,1
2,29,0,0,10.5,1,0,0,1,0
3,22,0,0,7.125,1,0,0,1,0
3,30,0,0,7.225,1,1,0,0,0
1,44,2,0,90,1,0,1,0,0
3,25,0,0,7.775,0,0,0,1,0
2,24,0,2,14.5,0,0,0,1,1
1,37,1,1,52.554,1,0,0,1,1
2,54,1,0,26,1,0,0,1,0
3,30.626,0,0,7.25,1,0,0,1,0
3,29,1,1,10.463,0,0,0,1,0
1,62,0,0,26.55,1,0,0,1,0
3,30,1,0,16.1,1,0,0,1,0
3,41,0,2,20.212,0,0,0,1,0
3,29,0,2,15.246,0,1,0,0,1
1,28.344,0,0,79.2,0,1,0,0,1
1,30,0,0,86.5,0,0,0,1,1
1,35,0,0,512.329,0,1,0,0,1
2,50,0,1,26,0,0,0,1,1
3,30.626,0,0,7.75,1,0,1,0,0
3,3,4,2,31.387,1,0,0,1,1
1,52,1,1,79.65,1,0,0,1,0
1,40,0,0,0,1,0,0,1,0
3,30.626,0,0,7.75,0,0,1,0,0
2,36,0,0,10.5,1,0,0,1,0
3,16,4,1,39.688,1,0,0,1,0
3,25,1,0,7.775,1,0,0,1,1
1,58,0,1,153.463,0,0,0,1,1
1,35,0,0,135.633,0,0,0,1,1
1,30.626,0,0,31,1,0,0,1,0
3,25,0,0,0,1,0,0,1,1
2,41,0,1,19.5,0,0,0,1,1
1,37,0,1,29.7,1,1,0,0,0
3,28.344,0,0,7.75,0,0,1,0,1
1,63,1,0,77.958,0,0,0,1,1
3,45,0,0,7.75,0,0,0,1,0
2,30.626,0,0,0,1,0,0,1,0
3,7,4,1,29.125,1,0,1,0,0
3,35,1,1,20.25,0,0,0,1,1
3,65,0,0,7.75,1,0,1,0,0
3,28,0,0,7.854,1,0,0,1,0
3,16,0,0,9.5,1,0,0,1,0
3,19,0,0,8.05,1,0,0,1,1
1,30.626,0,0,26,1,0,0,1,0
3,33,0,0,8.662,1,1,0,0,0
3,30,0,0,9.5,1,0,0,1,1
3,22,0,0,7.896,1,0,0,1,0
2,42,0,0,13,1,0,0,1,1
3,22,0,0,7.75,0,0,1,0,1
1,26,0,0,78.85,0,0,0,1,1
1,19,1,0,91.079,0,1,0,0,1
2,36,0,0,12.875,1,1,0,0,0
3,24,0,0,8.85,0,0,0,1,0
3,24,0,0,7.896,1,0,0,1,0
1,30.626,0,0,27.721,1,1,0,0,0
3,23.5,0,0,7.229,1,1,0,0,0
1,2,1,2,151.55,0,0,0,1,0
1,28.344,0,0,30.5,1,0,0,1,1
1,50,0,1,247.521,0,1,0,0,1
3,28.344,0,0,7.75,0,0,1,0,1
3,28.344,2,0,23.25,1,0,1,0,1
3,19,0,0,0,1,0,0,1,0
2,28.344,0,0,12.35,0,0,1,0,1
3,30.626,0,0,8.05,1,0,0,1,0
1,0.92,1,2,151.55,1,0,0,1,1
1,28.344,0,0,110.883,0,1,0,0,1
1,17,1,0,108.9,0,1,0,0,1
2,30,1,0,24,1,1,0,0,0
1,30,0,0,56.929,0,1,0,0,1
1,24,0,0,83.158,0,1,0,0,1
1,18,2,2,262.375,0,1,0,0,1
2,26,1,1,26,0,0,0,1,0
3,28,0,0,7.896,1,0,0,1,0
2,43,1,1,26.25,1,0,0,1,0
3,26,0,0,7.854,0,0,0,1,1
2,24,1,0,26,0,0,0,1,1
2,54,0,0,14,1,0,0,1,0
1,31,0,2,164.867,0,0,0,1,1
1,40,1,1,134.5,0,1,0,0,1
3,22,0,0,7.25,1,0,0,1,0
3,27,0,0,7.896,1,0,0,1,0
2,30,0,0,12.35,0,0,1,0,1
2,22,1,1,29,0,0,0,1,1
3,30.626,8,2,69.55,1,0,0,1,0
1,36,0,0,135.633,0,1,0,0,1
3,61,0,0,6.237,1,0,0,1,0
2,36,0,0,13,0,0,0,1,1
3,31,1,1,20.525,0,0,0,1,1
1,16,0,1,57.979,0,1,0,0,1
3,28.344,2,0,23.25,0,0,1,0,1
1,45.5,0,0,28.5,1,0,0,1,0
1,38,0,1,153.463,1,0,0,1,0
3,16,2,0,18,1,0,0,1,0
1,28.344,1,0,133.65,0,0,0,1,1
3,30.626,0,0,7.896,1,0,0,1,0
1,29,1,0,66.6,1,0,0,1,0
1,41,0,0,134.5,0,1,0,0,1
3,45,0,0,8.05,1,0,0,1,1
1,45,0,0,35.5,1,0,0,1,0
2,2,1,1,26,1,0,0,1,1
1,24,3,2,263,0,0,0,1,1
2,28,0,0,13,1,0,0,1,0
2,25,0,0,13,1,0,0,1,0
2,36,0,0,13,1,0,0,1,0
2,24,0,0,13,0,0,0,1,1
2,40,0,0,13,0,0,0,1,1
3,28.344,1,0,16.1,0,0,0,1,1
3,3,1,1,15.9,1,0,0,1,1
3,42,0,0,8.662,1,0,0,1,0
3,23,0,0,9.225,1,0,0,1,0
1,30.626,0,0,35,1,0,0,1,0
3,15,1,1,7.229,1,1,0,0,0
3,25,1,0,17.8,1,0,0,1,0
3,30.626,0,0,7.225,1,1,0,0,0
3,28,0,0,9.5,1,0,0,1,0
1,22,0,1,55,0,0,0,1,1
2,38,0,0,13,0,0,0,1,0
3,28.344,0,0,7.879,0,0,1,0,1
3,28.344,0,0,7.879,0,0,1,0,1
3,40,1,4,27.9,1,0,0,1,0
2,29,1,0,27.721,1,1,0,0,0
3,45,0,1,14.454,0,1,0,0,0
3,35,0,0,7.05,1,0,0,1,0
3,30.626,1,0,15.5,1,0,1,0,0
3,30,0,0,7.25,1,0,0,1,0
1,60,1,0,75.25,0,1,0,0,1
3,28.344,0,0,7.229,0,1,0,0,1
3,28.344,0,0,7.75,0,0,1,0,1
1,24,0,0,69.3,0,1,0,0,1
1,25,1,0,55.442,1,1,0,0,1
3,18,1,0,6.496,1,0,0,1,0
3,19,0,0,8.05,1,0,0,1,0
1,22,0,0,135.633,1,1,0,0,0
3,3,3,1,21.075,0,0,0,1,0
1,28.344,1,0,82.171,0,1,0,0,1
3,22,0,0,7.25,0,0,0,1,1
1,27,0,2,211.5,1,1,0,0,0
3,20,0,0,4.013,1,1,0,0,0
3,19,0,0,7.775,1,0,0,1,0
1,42,0,0,227.525,0,1,0,0,1
3,1,0,2,15.742,0,1,0,0,1
3,32,0,0,7.925,1,0,0,1,0
1,35,1,0,52,0,0,0,1,1
3,30.626,0,0,7.896,1,0,0,1,0
2,18,0,0,73.5,1,0,0,1,0
3,1,5,2,46.9,1,0,0,1,0
2,36,0,0,13,0,0,0,1,1
3,30.626,0,0,7.729,1,0,1,0,0
2,17,0,0,12,0,1,0,0,1
1,36,1,2,120,1,0,0,1,1
3,21,0,0,7.796,1,0,0,1,1
3,28,2,0,7.925,1,0,0,1,0
1,23,1,0,113.275,0,1,0,0,1
3,24,0,2,16.7,0,0,0,1,1
3,22,0,0,7.796,1,0,0,1,0
3,31,0,0,7.854,0,0,0,1,0
2,46,0,0,26,1,0,0,1,0
2,23,0,0,10.5,1,0,0,1,0
2,28,0,0,12.65,0,0,0,1,1
3,39,0,0,7.925,1,0,0,1,1
3,26,0,0,8.05,1,0,0,1,0
3,21,1,0,9.825,0,0,0,1,0
3,28,1,0,15.85,1,0,0,1,0
3,20,0,0,8.662,0,0,0,1,0
2,34,1,0,21,1,0,0,1,0
3,51,0,0,7.75,1,0,0,1,0
2,3,1,1,18.75,1,0,0,1,1
3,21,0,0,7.775,1,0,0,1,0
3,30.626,3,1,25.467,0,0,0,1,0
3,30.626,0,0,7.896,1,0,0,1,0
3,30.626,0,0,6.858,1,0,1,0,0
1,33,1,0,90,0,0,1,0,1
2,30.626,0,0,0,1,0,0,1,0
3,44,0,0,7.925,1,0,0,1,1
3,30.626,0,0,8.05,0,0,0,1,0
2,34,1,1,32.5,0,0,0,1,1
2,18,0,2,13,0,0,0,1,1
2,30,0,0,13,1,0,0,1,0
3,10,0,2,24.15,0,0,0,1,0
3,30.626,0,0,7.896,1,1,0,0,0
3,21,0,0,7.733,1,0,1,0,0
3,29,0,0,7.875,1,0,0,1,0
3,28,1,1,14.4,0,0,0,1,0
3,18,1,1,20.212,1,0,0,1,0
3,30.626,0,0,7.25,1,0,0,1,0
2,28,1,0,26,0,0,0,1,1
2,19,0,0,26,0,0,0,1,1
3,30.626,0,0,7.75,1,0,1,0,0
3,32,0,0,8.05,1,0,0,1,1
1,28,0,0,26.55,1,0,0,1,1
3,28.344,1,0,16.1,0,0,0,1,1
2,42,1,0,26,0,0,0,1,1
3,17,0,0,7.125,1,0,0,1,0
1,50,1,0,55.9,1,0,0,1,0
1,14,1,2,120,0,0,0,1,1
3,21,2,2,34.375,0,0,0,1,0
2,24,2,3,18.75,0,0,0,1,1
1,64,1,4,263,1,0,0,1,0
2,31,0,0,10.5,1,0,0,1,0
2,45,1,1,26.25,0,0,0,1,1
3,20,0,0,9.5,1,0,0,1,0
3,25,1,0,7.775,1,0,0,1,0
2,28,0,0,13,0,0,0,1,1
3,28.344,0,0,8.113,1,0,0,1,1
1,4,0,2,81.858,1,0,0,1,1
2,13,0,1,19.5,0,0,0,1,1
1,34,0,0,26.55,1,0,0,1,1
3,5,2,1,19.258,0,1,0,0,1
1,52,0,0,30.5,1,0,0,1,1
2,36,1,2,27.75,1,0,0,1,0
3,30.626,1,0,19.967,1,0,0,1,0
1,30,0,0,27.75,1,1,0,0,0
1,49,1,0,89.104,1,1,0,0,1
3,30.626,0,0,8.05,1,0,0,1,0
3,29,0,0,7.896,1,1,0,0,1
1,65,0,0,26.55,1,0,0,1,0
1,28.344,1,0,51.862,0,0,0,1,1
2,50,0,0,10.5,0,0,0,1,1
3,30.626,0,0,7.75,1,0,1,0,0
1,48,0,0,26.55,1,0,0,1,1
3,34,0,0,8.05,1,0,0,1,0
1,47,0,0,38.5,1,0,0,1,0
2,48,0,0,13,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
3,38,0,0,7.05,1,0,0,1,0
2,30.626,0,0,0,1,0,0,1,0
1,56,0,0,26.55,1,0,0,1,0
3,30.626,0,0,7.725,1,0,1,0,0
3,0.75,2,1,19.258,0,1,0,0,1
3,30.626,0,0,7.25,1,0,0,1,0
3,38,0,0,8.662,1,0,0,1,0
2,33,1,2,27.75,0,0,0,1,1
2,23,0,0,13.792,0,1,0,0,1
3,22,0,0,9.838,0,0,0,1,0
1,30.626,0,0,52,1,0,0,1,0
2,34,1,0,21,1,0,0,1,0
3,29,1,0,7.046,1,0,0,1,0
3,22,0,0,7.521,1,0,0,1,0
3,2,0,1,12.287,0,0,0,1,1
3,9,5,2,46.9,1,0,0,1,0
2,30.626,0,0,0,1,0,0,1,0
3,50,0,0,8.05,1,0,0,1,0
3,63,0,0,9.588,0,0,0,1,1
1,25,1,0,91.079,1,1,0,0,1
3,30.626,3,1,25.467,0,0,0,1,0
1,35,1,0,90,0,0,0,1,1
1,58,0,0,29.7,1,1,0,0,0
3,30,0,0,8.05,1,0,0,1,0
3,9,1,1,15.9,1,0,0,1,1
3,30.626,1,0,19.967,1,0,0,1,0
3,21,0,0,7.25,1,0,0,1,0
1,55,0,0,30.5,1,0,0,1,0
1,71,0,0,49.504,1,1,0,0,0
3,21,0,0,8.05,1,0,0,1,0
3,30.626,0,0,14.458,1,1,0,0,0
1,54,1,0,78.267,0,1,0,0,1
3,30.626,0,0,15.1,1,0,0,1,0
1,25,1,2,151.55,0,0,0,1,0
3,24,0,0,7.796,1,0,0,1,0
3,17,0,0,8.662,1,0,0,1,0
3,21,0,0,7.75,0,0,1,0,0
3,30.626,0,0,7.629,0,0,1,0,0
3,37,0,0,9.588,0,0,0,1,0
1,16,0,0,86.5,0,0,0,1,1
1,18,1,0,108.9,1,1,0,0,0
2,33,0,2,26,0,0,0,1,1
1,28.344,0,0,26.55,1,0,0,1,1
3,28,0,0,22.525,1,0,0,1,0
3,26,0,0,56.496,1,0,0,1,1
3,29,0,0,7.75,1,0,1,0,1
3,30.626,0,0,8.05,1,0,0,1,0
1,36,0,0,26.288,1,0,0,1,1
1,54,1,0,59.4,0,1,0,0,1
3,24,0,0,7.496,1,0,0,1,0
1,47,0,0,34.021,1,0,0,1,0
2,34,0,0,10.5,0,0,0,1,1
3,30.626,0,0,24.15,1,0,1,0,0
2,36,1,0,26,0,0,0,1,1
3,32,0,0,7.896,1,0,0,1,0
1,30,0,0,93.5,0,0,0,1,1
3,22,0,0,7.896,1,0,0,1,0
3,30.626,0,0,7.225,1,1,0,0,0
1,44,0,1,57.979,0,1,0,0,1
3,30.626,0,0,7.229,1,1,0,0,0
3,40.5,0,0,7.75,1,0,1,0,0
2,50,0,0,10.5,0,0,0,1,1
1,30.626,0,0,221.779,1,0,0,1,0
3,39,0,0,7.925,1,0,0,1,0
2,23,2,1,11.5,1,0,0,1,0
2,2,1,1,26,0,0,0,1,1
3,30.626,0,0,7.229,1,1,0,0,0
3,17,1,1,7.229,1,1,0,0,0
3,28.344,0,2,22.358,0,1,0,0,1
3,30,0,0,8.662,0,0,0,1,0
2,7,0,2,26.25,0,0,0,1,1
1,45,0,0,26.55,1,0,0,1,0
1,30,0,0,106.425,0,1,0,0,1
3,30.626,0,0,14.5,1,0,0,1,0
1,22,0,2,49.5,0,1,0,0,1
1,36,0,2,71,0,0,0,1,1
3,9,4,2,31.275,0,0,0,1,0
3,11,4,2,31.275,0,0,0,1,0
2,32,1,0,26,1,0,0,1,1
1,50,1,0,106.425,1,1,0,0,0
1,64,0,0,26,1,0,0,1,0
2,19,1,0,26,0,0,0,1,1
2,28.344,0,0,13.863,1,1,0,0,1
3,33,1,1,20.525,1,0,0,1,0
2,8,1,1,36.75,1,0,0,1,1
1,17,0,2,110.883,1,1,0,0,1
2,27,0,0,26,1,0,0,1,0
3,30.626,0,0,7.829,1,0,1,0,0
3,22,0,0,7.225,1,1,0,0,1
3,22,0,0,7.775,0,0,0,1,1
1,62,0,0,26.55,1,0,0,1,0
1,48,1,0,39.6,0,1,0,0,1
1,30.626,0,0,227.525,1,1,0,0,0
1,39,1,1,79.65,0,0,0,1,1
3,36,1,0,17.4,0,0,0,1,1
3,30.626,0,0,7.75,1,0,1,0,0
3,40,0,0,7.896,1,0,0,1,0
2,28,0,0,13.5,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
3,30.626,0,0,8.05,0,0,0,1,0
3,24,2,0,24.15,1,0,0,1,0
3,19,0,0,7.896,1,0,0,1,0
3,29,0,4,21.075,0,0,0,1,0
3,30.626,0,0,7.229,1,1,0,0,0
3,32,0,0,7.854,1,0,0,1,1
2,62,0,0,10.5,1,0,0,1,1
1,53,2,0,51.479,0,0,0,1,1
1,36,0,0,26.387,1,0,0,1,1
3,28.344,0,0,7.75,0,0,1,0,1
3,16,0,0,8.05,1,0,0,1,0
3,19,0,0,14.5,1,0,0,1,0
2,34,0,0,13,0,0,0,1,1
1,39,1,0,55.9,0,0,0,1,1
3,30.626,1,0,14.458,0,1,0,0,0
3,32,0,0,7.925,1,0,0,1,1
2,25,1,1,30,0,0,0,1,1
1,39,1,1,110.883,0,1,0,0,1
2,54,0,0,26,1,0,0,1,0
1,36,0,0,40.125,1,1,0,0,0
3,30.626,0,0,8.713,1,1,0,0,0
1,18,0,2,79.65,0,0,0,1,1
2,47,0,0,15,1,0,0,1,0
1,60,1,1,79.2,1,1,0,0,1
3,22,0,0,8.05,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
3,35,0,0,7.125,1,0,0,1,0
1,52,1,0,78.267,0,1,0,0,1
3,47,0,0,7.25,1,0,0,1,0
3,30.626,0,2,7.75,0,0,1,0,0
2,37,1,0,26,1,0,0,1,0
3,36,1,1,24.15,1,0,0,1,0
2,28.344,0,0,33,0,0,0,1,1
3,49,0,0,0,1,0,0,1,0
3,30.626,0,0,7.225,1,1,0,0,0
1,49,1,0,56.929,1,1,0,0,1
2,24,2,1,27,0,0,0,1,1
3,30.626,0,0,7.896,1,0,0,1,0
1,30.626,0,0,42.4,1,0,0,1,0
3,44,0,0,8.05,1,0,0,1,0
1,35,0,0,26.55,1,1,0,0,1
3,36,1,0,15.55,1,0,0,1,0
3,30,0,0,7.896,1,0,0,1,0
1,27,0,0,30.5,1,0,0,1,1
2,22,1,2,41.579,0,1,0,0,1
1,40,0,0,153.463,0,0,0,1,1
3,39,1,5,31.275,0,0,0,1,0
3,30.626,0,0,7.05,1,0,0,1,0
3,28.344,1,0,15.5,0,0,1,0,1
3,30.626,0,0,7.75,1,0,1,0,0
3,35,0,0,8.05,1,0,0,1,0
2,24,1,2,65,0,0,0,1,1
3,34,1,1,14.4,1,0,0,1,0
3,26,1,0,16.1,0,0,0,1,0
2,4,2,1,39,0,0,0,1,1
2,26,0,0,10.5,1,0,0,1,0
3,27,1,0,14.454,1,1,0,0,0
1,42,1,0,52.554,1,0,0,1,1
3,20,1,1,15.742,1,1,0,0,1
3,21,0,0,7.854,1,0,0,1,0
3,21,0,0,16.1,1,0,0,1,0
1,61,0,0,32.321,1,0,0,1,0
2,57,0,0,12.35,1,0,1,0,0
